sentence,wnli_sent1,wnli_sent2,label,wsc_num,fold_num
The city councilmen refused the demonstrators a permit because they feared violence. The they is more likely to refer to The city councilmen than the demonstrators because city councilmen are administrative so they are more likely to fear,The city councilmen refused the demonstrators a permit because they feared violence. ,The they is more likely to refer to The city councilmen than the demonstrators because city councilmen are administrative so they are more likely to fear,1,0,2
The city councilmen refused the demonstrators a permit because they feared violence. The they is more likely to refer to The city councilmen than the demonstrators because The ones that fear violence are likely the councilmen,The city councilmen refused the demonstrators a permit because they feared violence. ,The they is more likely to refer to The city councilmen than the demonstrators because The ones that fear violence are likely the councilmen,1,0,4
The city councilmen refused the demonstrators a permit because they feared violence. The they is more likely to refer to The city councilmen than the demonstrators because The councilmen distributed permits at their discretion; the demonstrators wanted the permits.,The city councilmen refused the demonstrators a permit because they feared violence. ,The they is more likely to refer to The city councilmen than the demonstrators because The councilmen distributed permits at their discretion; the demonstrators wanted the permits.,1,0,1
The city councilmen refused the demonstrators a permit because they feared violence. The they is more likely to refer to The city councilmen than the demonstrators because The demonstrators made the councilmen feared violence,The city councilmen refused the demonstrators a permit because they feared violence. ,The they is more likely to refer to The city councilmen than the demonstrators because The demonstrators made the councilmen feared violence,1,0,3
The city councilmen refused the demonstrators a permit because they feared violence. The they is more likely to refer to The city councilmen than the demonstrators because  they are under the command of Mayor James B. Gray.,The city councilmen refused the demonstrators a permit because they feared violence. ,The they is more likely to refer to The city councilmen than the demonstrators because  they are under the command of Mayor James B. Gray.,0,0,4
The city councilmen refused the demonstrators a permit because they feared violence. The they is more likely to refer to The city councilmen than the demonstrators because  of the city's history of racial discrimination.,The city councilmen refused the demonstrators a permit because they feared violence. ,The they is more likely to refer to The city councilmen than the demonstrators because  of the city's history of racial discrimination.,0,0,1
The city councilmen refused the demonstrators a permit because they feared violence. The they is more likely to refer to The city councilmen than the demonstrators because The demonstraters refused.,The city councilmen refused the demonstrators a permit because they feared violence. ,The they is more likely to refer to The city councilmen than the demonstrators because The demonstraters refused.,0,0,0
The city councilmen refused the demonstrators a permit because they feared violence. The they is more likely to refer to The city councilmen than the demonstrators because demonstrators are more likely to be advocating violence.,The city councilmen refused the demonstrators a permit because they feared violence. ,The they is more likely to refer to The city councilmen than the demonstrators because demonstrators are more likely to be advocating violence.,1,0,3
The city councilmen refused the demonstrators a permit because they feared violence. The they is more likely to refer to The city councilmen than the demonstrators because The demonstrators advocated violence,The city councilmen refused the demonstrators a permit because they feared violence. ,The they is more likely to refer to The city councilmen than the demonstrators because The demonstrators advocated violence,1,0,0
The city councilmen refused the demonstrators a permit because they feared violence. The they is more likely to refer to The city councilmen than the demonstrators because The demonstrators were the ones who needed a permit.,The city councilmen refused the demonstrators a permit because they feared violence. ,The they is more likely to refer to The city councilmen than the demonstrators because The demonstrators were the ones who needed a permit.,1,0,2
The city councilmen refused the demonstrators a permit because they advocated violence. The they is more likely to refer to the demonstrators than The city councilmen because demonstrators are more likely to be advocating violence.,The city councilmen refused the demonstrators a permit because they advocated violence. ,The they is more likely to refer to the demonstrators than The city councilmen because demonstrators are more likely to be advocating violence.,1,1,0
The city councilmen refused the demonstrators a permit because they advocated violence. The they is more likely to refer to the demonstrators than The city councilmen because the demonstrators commit violence so they refused to allow.,The city councilmen refused the demonstrators a permit because they advocated violence. ,The they is more likely to refer to the demonstrators than The city councilmen because the demonstrators commit violence so they refused to allow.,1,1,2
The city councilmen refused the demonstrators a permit because they advocated violence. The they is more likely to refer to the demonstrators than The city councilmen because The demonstrators were the ones who needed a permit.,The city councilmen refused the demonstrators a permit because they advocated violence. ,The they is more likely to refer to the demonstrators than The city councilmen because The demonstrators were the ones who needed a permit.,1,1,0
The city councilmen refused the demonstrators a permit because they advocated violence. The they is more likely to refer to the demonstrators than The city councilmen because  the organizers of the event are anti-police and white supremacist.,The city councilmen refused the demonstrators a permit because they advocated violence. ,The they is more likely to refer to the demonstrators than The city councilmen because  the organizers of the event are anti-police and white supremacist.,0,1,2
